Neighbourhood,Neighbourhood_Num
West Humber-Clairville,1
Mount Olive-Silverstone-Jamestown,2
Thistletown-Beaumond Heights,3
Rexdale-Kipling,4
Elms-Old Rexdale,5
Kingsview Village-The Westway,6
Willowridge-Martingrove-Richview,7
Humber Heights-Westmount,8
Edenbridge-Humber Valley,9
Princess-Rosethorn,10
Eringate-Centennial-West Deane,11
Markland Wood,12
Etobicoke West Mall,13
Kingsway South,15
Stonegate-Queensway,16
New Toronto,18
Long Branch,19
Alderwood,20
Humber Summit,21
Humbermede,22
Pelmo Park-Humberlea,23
Black Creek,24
Glenfield-Jane Heights,25
York University Heights,27
Rustic,28
Maple Leaf,29
Brookhaven-Amesbury,30
Yorkdale-Glen Park,31
Englemount-Lawrence,32
Clanton Park,33
Bathurst Manor,34
Westminster-Branson,35
Newtonbrook West,36
Willowdale West,37
Lansing-Westgate,38
Bedford Park-Nortown,39
St.Andrew-Windfields,40
Bridle Path-Sunnybrook-York Mills,41
Banbury-Don Mills,42
Victoria Village,43
Flemingdon Park,44
Pleasant View,46
Don Valley Village,47
Hillcrest Village,48
Bayview Woods-Steeles,49
Newtonbrook East,50
Bayview Village,52
Henry Farm,53
O'Connor Parkview,54
Thorncliffe Park,55
Leaside-Bennington,56
Broadview North,57
Old East York,58
Danforth-East York,59
Woodbine-Lumsden,60
Taylor Massey,61
East End Danforth,62
The Beaches,63
Woodbine Corridor,64
Greenwood-Coxwell,65
Danforth,66
Playter Estates-Danforth,67
North Riverdale,68
Blake-Jones,69
South Riverdale,70
Cabbagetown-South St. James Town,71
Regent Park,72
Moss Park,73
North St. James Town,74
Kensington-Chinatown,78
University,79
Palmerston-Little Italy,80
Trinity-Bellwoods,81
Dufferin Grove,83
Little Portugal,84
South Parkdale,85
Roncesvalles,86
High Park-Swansea,87
High Park North,88
Runnymede-Bloor West Village,89
Junction Area,90
Weston-Pelham Park,91
Corso Italia-Davenport,92
Wychwood,94
Annex,95
Casa Loma,96
Yonge-St. Clair,97
Rosedale-Moore Park,98
Mount Pleasant East,99
Yonge-Eglinton,100
Forest Hill South,101
Forest Hill North,102
Lawrence Park South,103
Lawrence Park North,105
Humewood-Cedarvale,106
Oakwood Village,107
Briar Hill-Belgravia,108
Caledonia-Fairbank,109
Keelesdale-Eglinton West,110
Rockcliffe-Smythe,111
Beechborough-Greenbrook,112
Weston,113
Lambton Baby Point,114
Mount Dennis,115
Steeles,116
Tam O'Shanter-Sullivan,118
Wexford/Maryvale,119
Clairlea-Birchmount,120
Oakridge,121
Birchcliffe-Cliffside,122
Cliffcrest,123
Kennedy Park,124
Ionview,125
Dorset Park,126
Agincourt South-Malvern West,128
Agincourt North,129
Milliken,130
Centennial Scarborough,133
Highland Creek,134
Morningside,135
West Hill,136
Eglinton East,138
Scarborough Village,139
Guildwood,140
Golfdale-Cedarbrae-Woburn,141
Woburn North,142
West Rouge,143
Morningside Heights,144
Malvern West,145
Malvern East,146
L'Amoreaux West,147
East L'Amoreaux,148
Parkwoods-O'Connor Hills,149
Fenside-Parkwoods,150
Yonge-Doris,151
East Willowdale,152
Avondale,153
Oakdale-Beverley Heights,154
Downsview,155
Bendale-Glen Andrew,156
Bendale South,157
Islington,158
Etobicoke City Centre,159
Mimico-Queensway,160
Humber Bay Shores,161
West Queen West,162
Fort York-Liberty Village,163
Wellington Place,164
Harbourfront-CityPlace,165
St Lawrence-East Bayfront-The Islands,166
Church-Wellesley,167
Downtown Yonge East,168
Bay-Cloverhill,169
Yonge-Bay Corridor,170
Junction-Wallace Emerson,171
Dovercourt Village,172
North Toronto,173
South Eglinton-Davisville,174
